country_code,level1_en,level2_en,level3_en,level1_vi,level2_vi,level3_vi
VN,Quang Ninh,Quang Yen Town,Tien An Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Tiền An
VN,Quang Ninh,Quang Yen Town,Hoang Tan Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Hoàng Tân
VN,Quang Ninh,Quang Yen Town,Tan An Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Tân An
VN,Quang Ninh,Quang Yen Town,Yen Giang Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Yên Giang
VN,Quang Ninh,Quang Yen Town,Nam Hoa Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Nam Hòa
VN,Quang Ninh,Quang Yen Town,Ha An Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Hà An
VN,Quang Ninh,Quang Yen Town,Cam La Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Cẩm La
VN,Quang Ninh,Quang Yen Town,Phong Hai Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Phong Hải
VN,Quang Ninh,Quang Yen Town,Yen Hai Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Yên Hải
VN,Quang Ninh,Quang Yen Town,Lien Hoa Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Liên Hòa
VN,Quang Ninh,Quang Yen Town,Phong Coc Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Phong Cốc
VN,Quang Ninh,Quang Yen Town,Lien Vi Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Liên Vị
VN,Quang Ninh,Quang Yen Town,Tien Phong Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Tiền Phong
VN,Quang Tri,Quang Tri Town,Ward 1,Quảng Trị,Thị xã Quảng Trị,Phường 01
VN,Quang Tri,Quang Tri Town,An Don Ward,Quảng Trị,Thị xã Quảng Trị,Phường An Đôn
VN,Quang Tri,Quang Tri Town,Ward 2,Quảng Trị,Thị xã Quảng Trị,Phường 02
VN,Quang Tri,Quang Tri Town,Ward 3,Quảng Trị,Thị xã Quảng Trị,Phường 03
VN,Quang Tri,Quang Tri Town,Hai Le Ward,Quảng Trị,Thị xã Quảng Trị,Xã Hải Lệ
VN,Thai Nguyen,Pho Yen Town,Bai Bong Ward,Thái Nguyên,Thị xã Phổ Yên,Phường Bãi Bông
VN,Thai Nguyen,Pho Yen Town,Bac Son Ward,Thái Nguyên,Thị xã Phổ Yên,Phường Bắc Sơn
VN,Thai Nguyen,Pho Yen Town,Ba Hang Ward,Thái Nguyên,Thị xã Phổ Yên,Phường Ba Hàng
VN,Thai Nguyen,Pho Yen Town,Phuc Tan Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Phúc Tân
VN,Thai Nguyen,Pho Yen Town,Phuc Thuan Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Phúc Thuận
VN,Thai Nguyen,Pho Yen Town,Hong Tien Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Hồng Tiến
VN,Thai Nguyen,Pho Yen Town,Minh Duc Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Minh Đức
VN,Thai Nguyen,Pho Yen Town,Dac Son Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Đắc Sơn
VN,Thai Nguyen,Pho Yen Town,Dong Tien Ward,Thái Nguyên,Thị xã Phổ Yên,Phường Đồng Tiến
VN,Thai Nguyen,Pho Yen Town,Thanh Cong Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Thành Công
VN,Thai Nguyen,Pho Yen Town,Tien Phong Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Tiên Phong
VN,Thai Nguyen,Pho Yen Town,Van Phai Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Vạn Phái
VN,Thai Nguyen,Pho Yen Town,Nam Tien Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Nam Tiến
VN,Thai Nguyen,Pho Yen Town,Tan Huong Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Tân Hương
VN,Thai Nguyen,Pho Yen Town,Dong Cao Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Đông Cao
VN,Thai Nguyen,Pho Yen Town,Trung Thanh Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Trung Thành
VN,Thai Nguyen,Pho Yen Town,Tan Phu Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Tân Phú
VN,Thai Nguyen,Pho Yen Town,Thuan Thanh Ward,Thái Nguyên,Thị xã Phổ Yên,Xã Thuận Thành
VN,Binh Phuoc,Phuoc Long Town,Thac Mo Ward,Bình Phước,Thị xã Phước Long,Phường Thác Mơ
VN,Binh Phuoc,Phuoc Long Town,Long Thuy Ward,Bình Phước,Thị xã Phước Long,Phường Long Thủy
